Date,Bitcoin,Ethereum,Ethereum Classic,Ripple,Tether
2016-01-01 23:59:59,434.334014892578,0.948023974895477,,0.0059550302103161,1.0
2016-01-02 23:59:59,433.43798828125,0.937124013900757,,0.0060647199861705,1.0
2016-01-03 23:59:59,430.010986328125,0.971904993057251,,0.0060171401128172,1.0
2016-01-04 23:59:59,433.091003417969,0.954479992389679,,0.0059577501378953,1.0
2016-01-05 23:59:59,431.959991455078,0.950176000595093,,0.0060443300753831,1.00024998188019
2016-01-06 23:59:59,429.105010986328,0.950860023498535,,0.0060032899491488,1.0
2016-01-07 23:59:59,458.048004150391,0.942004978656769,,0.0060391798615455,1.0
2016-01-08 23:59:59,453.230010986328,0.986788988113403,,0.005933309905231,1.0
2016-01-09 23:59:59,447.610992431641,0.986832976341248,,0.0059820199385285,1.0
2016-01-10 23:59:59,447.990997314453,0.999230980873108,,0.0059560597874224,1.0
2016-01-11 23:59:59,448.428009033203,1.06159996986389,,0.0058946600183844,1.0
2016-01-12 23:59:59,435.690002441406,1.14100003242493,,0.005854379851371,1.0
2016-01-13 23:59:59,432.371002197266,1.12520003318787,,0.0057936399243772,1.00045001506805
2016-01-14 23:59:59,430.305999755859,1.1895899772644,,0.0055293599143624,1.0
2016-01-15 23:59:59,364.330993652344,1.20800995826721,,0.0052293301559984,1.0
2016-01-16 23:59:59,387.536010742188,1.22028994560242,,0.005112050101161,1.00040996074677
2016-01-17 23:59:59,382.299011230469,1.32746994495392,,0.0052657998166978,1.0
2016-01-18 23:59:59,387.167999267578,1.42633998394012,,0.005326029844582,1.0
2016-01-19 23:59:59,380.148986816406,1.37138998508453,,0.0052707102149725,1.0
2016-01-20 23:59:59,420.230010986328,1.53182005882263,,0.0053808698430657,1.0
2016-01-21 23:59:59,410.261993408203,1.55357003211975,,0.0053125699050724,1.0
2016-01-22 23:59:59,382.492004394531,1.50127005577087,,0.0051143700256943,1.00006997585297
2016-01-23 23:59:59,387.490997314453,1.9726699590683,,0.0051200902089476,1.00014996528625
2016-01-24 23:59:59,402.971008300781,2.14120006561279,,0.0052193799056112,1.00001001358032
2016-01-25 23:59:59,391.726013183594,2.49926996231079,,0.0051346500404179,1.00001001358032
2016-01-26 23:59:59,392.153015136719,2.27637004852295,,0.0054190000519156,1.0
2016-01-27 23:59:59,394.971984863281,2.38855004310608,,0.0065058800391852,1.0
2016-01-28 23:59:59,380.289001464844,2.52648997306824,,0.0062259598635137,0.999998986721039
2016-01-29 23:59:59,379.473999023438,2.49496006965637,,0.0068395398557186,0.999978005886078
2016-01-30 23:59:59,378.255004882812,2.44506001472473,,0.0066340798512101,1.0
2016-01-31 23:59:59,368.766998291016,2.30604004859924,,0.0063991900533437,0.999998986721039
2016-02-01 23:59:59,373.055999755859,2.21168994903564,,0.0065417098812758,0.999969005584717
2016-02-02 23:59:59,374.447998046875,2.43964004516602,,0.0067682699300348,1.0
2016-02-03 23:59:59,369.949005126953,2.52869009971619,,0.0068825599737465,1.0
2016-02-04 23:59:59,389.593994140625,2.57803988456726,,0.0069704600609839,1.0
2016-02-05 23:59:59,386.549011230469,2.53899002075195,,0.007262079976499,1.0
2016-02-06 23:59:59,376.522003173828,2.53446006774902,,0.0079222097992897,1.0
2016-02-07 23:59:59,376.619995117188,2.96433997154236,,0.0083381403237581,1.0
2016-02-08 23:59:59,373.446990966797,3.17979001998901,,0.0079908203333616,1.0
2016-02-09 23:59:59,376.028991699219,4.0446400642395,,0.0078154196962714,1.0
2016-02-10 23:59:59,381.648986816406,4.43626022338867,,0.0078534595668315,1.0
2016-02-11 23:59:59,379.653991699219,6.01310014724731,,0.0078151803463697,1.0
2016-02-12 23:59:59,384.263000488281,5.5469799041748,,0.0079793902114033,1.0
2016-02-13 23:59:59,391.859985351562,5.38532018661499,,0.0082574598491191,1.0
2016-02-14 23:59:59,407.230010986328,5.23972988128662,,0.0085900602862238,1.00089001655579
2016-02-15 23:59:59,400.184997558594,5.28835010528564,,0.008630639873445,1.00001001358032
2016-02-16 23:59:59,407.488006591797,4.31528997421265,,0.0084508899599313,1.00001001358032
2016-02-17 23:59:59,416.321990966797,3.75724005699158,,0.0081379096955061,1.0
2016-02-18 23:59:59,422.372985839844,4.39912986755371,,0.0079952999949455,1.0
2016-02-19 23:59:59,420.785003662109,4.73788976669312,,0.0082447500899434,1.0
2016-02-20 23:59:59,437.164001464844,4.34133005142212,,0.0082526002079248,1.0
2016-02-21 23:59:59,438.798004150391,4.65361976623535,,0.0081003196537494,1.0
2016-02-22 23:59:59,437.747985839844,5.61649990081787,,0.0080503104254603,1.0
2016-02-23 23:59:59,420.735992431641,5.58620977401733,,0.0079696895554661,1.0
2016-02-24 23:59:59,424.954986572266,6.23647022247314,,0.0080760903656482,0.999844014644623
2016-02-25 23:59:59,424.544006347656,6.1048002243042,,0.0080273495987057,1.0
2016-02-26 23:59:59,432.152008056641,5.92166996002197,,0.0080579295754432,1.0
2016-02-27 23:59:59,432.519012451172,6.4258599281311,,0.0079722302034497,1.0
2016-02-28 23:59:59,433.503997802734,6.46834993362427,,0.007888900116086,1.0
2016-02-29 23:59:59,437.696990966797,6.33698987960815,,0.0079225599765777,1.00002002716064
2016-03-01 23:59:59,435.122985839844,7.65368986129761,,0.0080056600272655,0.999990999698639
2016-03-02 23:59:59,423.989013671875,8.4653902053833,,0.00803017988801,0.999961972236633
2016-03-03 23:59:59,421.651000976562,9.29415035247803,,0.0081616202369332,0.999998986721039
2016-03-04 23:59:59,410.938995361328,10.4060001373291,,0.0080960299819707,1.0
